ProductID	xLocation	yLocation	AccessN	AccessW	AccessS	AccessE
1	2	0	1	0	0	0
45	10	14	1	0	0	0
74	10.2	8	1	0	0	0
102	14.6	8	1	0	0	0
149	8	8	1	0	0	0
172	6.4	8	1	0	0	0
219	20.2	8	1	0	0	0
231	18.8	8	1	0	0	0
290	17	10	1	0	0	0
302	6	12	1	0	0	0
359	14.8	12	1	0	0	0
364	10.4	10	1	0	0	0
444	16.4	4	1	0	0	0
485	6.4	16	1	0	0	0
515	6.64	10	1	0	0	0
517	8.66	10	1	0	0	0
571	16.6	6	1	0	0	0
610	8.4	8	1	0	0	0
623	10.2	12	1	0	0	0
633	16.2	8	1	0	0	0
636	10.84	10	1	0	0	0
656	6.64	10	1	0	0	0
670	10.6	10	1	0	0	0
694	8.4	14	1	0	0	0
697	6.62	10	1	0	0	0
699	8.2	6	1	0	0	0
800	8.6	10	1	0	0	0
817	18.2	10	1	0	0	0
835	16	8	1	0	0	0
903	8	8	1	0	0	0
922	10.4	6	1	0	0	0
977	2.2	0	1	0	0	0
995	14.2	2	1	0	0	0
1019	16.6	10	1	0	0	0
1025	6	8	1	0	0	0
1033	20.4	8	1	0	0	0
1045	18.2	6	1	0	0	0
1053	16.2	6	1	0	0	0
1137	10.6	10	1	0	0	0
1138	8.8	6	1	0	0	0
1196	8.6	10	1	0	0	0
1210	8	12	1	0	0	0
1236	14.6	6	1	0	0	0
1253	14.8	12	1	0	0	0
1254	8.4	8	1	0	0	0
1282	8	8	1	0	0	0
1321	16	4	1	0	0	0
1336	10.2	8	1	0	0	0
1355	12.2	4	1	0	0	0
1365	8.2	14	1	0	0	0
1387	14.8	12	1	0	0	0
1399	8.6	10	1	0	0	0
1407	10.8	10	1	0	0	0
1451	6.4	12	1	0	0	0
1452	8.2	8	1	0	0	0
1466	10	8	1	0	0	0
1469	10.4	10	1	0	0	0
1479	8.4	8	1	0	0	0
1500	10.4	8	1	0	0	0
1518	8.6	6	1	0	0	0
1519	16.2	4	1	0	0	0
1520	6.2	14	1	0	0	0
1561	10.2	8	1	0	0	0
1578	14.6	6	1	0	0	0
1582	20.4	2	1	0	0	0
1651	10.4	8	1	0	0	0
1683	18.8	8	1	0	0	0
1738	12	4	1	0	0	0
1829	8.2	14	1	0	0	0
1885	10.82	10	1	0	0	0
1914	12.2	8	1	0	0	0
1948	10.4	10	1	0	0	0
1958	10.2	12	1	0	0	0
2010	8.4	8	1	0	0	0
2029	8.2	12	1	0	0	0
2050	8.4	10	1	0	0	0
2058	16.2	8	1	0	0	0
2059	14.4	14	1	0	0	0
2067	16.2	10	1	0	0	0
2176	14.4	14	1	0	0	0
2180	10.2	10	1	0	0	0
2222	6.6	6	1	0	0	0
2227	10.8	8	1	0	0	0
2260	10	14	1	0	0	0
2261	8.8	8	1	0	0	0
2339	11	8	1	0	0	0
2351	14.2	6	1	0	0	0
2362	10.2	14	1	0	0	0
2367	14.2	2	1	0	0	0
2407	10.2	8	1	0	0	0
2556	10.8	8	1	0	0	0
2671	8.4	8	1	0	0	0
2686	16.6	10	1	0	0	0
2713	12	8	1	0	0	0
2826	8.8	8	1	0	0	0
2883	16.6	6	1	0	0	0
2927	12	14	1	0	0	0
2928	10.6	10	1	0	0	0
2946	10	8	1	0	0	0
2947	10.2	8	1	0	0	0
2973	6.4	10	1	0	0	0
2982	14	6	1	0	0	0
3013	8.4	10	1	0	0	0
3047	6.2	6	1	0	0	0
3210	10.2	8	1	0	0	0
3221	18.4	14	1	0	0	0
3255	6.6	12	1	0	0	0
3293	14.6	12	1	0	0	0
3296	14	12	1	0	0	0
3315	6	8	1	0	0	0
3317	10.4	10	1	0	0	0
3326	18.4	6	1	0	0	0
3352	8.4	14	1	0	0	0
3353	8.4	6	1	0	0	0
3358	8.2	4	1	0	0	0
3401	20.4	14	1	0	0	0
3504	12.2	8	1	0	0	0
3547	12.4	12	1	0	0	0
3564	12.8	12	1	0	0	0
3568	12.2	8	1	0	0	0
3611	10	8	1	0	0	0
3632	14.6	6	1	0	0	0
3716	10.6	4	1	0	0	0
3721	14.4	10	1	0	0	0
3726	10.2	12	1	0	0	0
3749	14.4	6	1	0	0	0
3764	21.2	6	1	0	0	0
3791	12.2	8	1	0	0	0
3900	27.98	18	1	0	0	0
3922	6.6	10	1	0	0	0
3967	6.64	10	1	0	0	0
3979	20.4	4	1	0	0	0
3992	18.4	6	1	0	0	0
4016	20.2	8	1	0	0	0
4063	8.4	14	1	0	0	0
4086	10.4	16	1	0	0	0
4103	18.8	8	1	0	0	0
4107	6.2	14	1	0	0	0
4167	4	4	1	0	0	0
4197	18.8	8	1	0	0	0
4211	6.66	10	1	0	0	0
4240	10.2	6	1	0	0	0
4258	12.2	4	1	0	0	0
4275	16.2	8	1	0	0	0
4319	11	8	1	0	0	0
4362	16.6	6	1	0	0	0
4365	8.2	12	1	0	0	0
4369	14.6	8	1	0	0	0
4402	7.4	10	1	0	0	0
4455	8.4	8	1	0	0	0
4568	8	8	1	0	0	0
4579	14	12	1	0	0	0
4608	9.2	10	1	0	0	0
4619	27.98	18	1	0	0	0
4645	6.66	10	1	0	0	0
